sequence,mcg,gvh,lip,chg,aac,alm1,alm2,class
AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
ACEA_ECOLI,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp
ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
ADI_ECOLI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
AMPD_ECOLI,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
ARAC_ECOLI,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
CFA_ECOLI,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0,cp
CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
DAPD_ECOLI,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp
DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
DDLB_ECOLI,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
DEOC_ECOLI,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
EFTU_ECOLI,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
FABB_ECOLI,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp
FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
GT_ECOLI,0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
