surgery,age,hospital_num,rectal_temperature,pulse,respiratory_rate,temperature_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion,lesion_type_1,lesion_type_2,lesion_type_3,cp_data
2,1,530101,38.5,66,28,3,3,?,2,5,4,4,?,?,?,3,5,45,8.4,?,?,2,2,11300,0,0,2
1,1,534817,39.2,88,20,?,?,4,1,3,4,2,?,?,?,4,2,50,85,2,2,3,2,2208,0,0,2
2,1,530334,38.3,40,24,1,1,3,1,3,3,1,?,?,?,1,1,33,6.7,?,?,1,2,0,0,0,1
1,9,5290409,39.1,164,84,4,1,6,2,2,4,4,1,2,5,3,?,48,7.2,3,5.3,2,1,2208,0,0,1
2,1,530255,37.3,104,35,?,?,6,2,?,?,?,?,?,?,?,?,74,7.4,?,?,2,2,4300,0,0,2
2,1,528355,?,?,?,2,1,3,1,2,3,2,2,1,?,3,3,?,?,?,?,1,2,0,0,0,2
1,1,526802,37.9,48,16,1,1,1,1,3,3,3,1,1,?,3,5,37,7,?,?,1,1,3124,0,0,2
1,1,529607,?,60,?,3,?,?,1,?,4,2,2,1,?,3,4,44,8.3,?,?,2,1,2208,0,0,2
2,1,530051,?,80,36,3,4,3,1,4,4,4,2,1,?,3,5,38,6.2,?,?,3,1,3205,0,0,2
2,9,5299629,38.3,90,?,1,?,1,1,5,3,1,2,1,?,3,?,40,6.2,1,2.2,1,2,0,0,0,1
1,1,528548,38.1,66,12,3,3,5,1,3,3,1,2,1,3,2,5,44,6,2,3.6,1,1,2124,0,0,1
2,1,527927,39.1,72,52,2,?,2,1,2,1,2,1,1,?,4,4,50,7.8,?,?,1,1,2111,0,0,2
1,1,528031,37.2,42,12,2,1,1,1,3,3,3,3,1,?,4,5,?,7,?,?,1,2,4124,0,0,2
2,9,5291329,38,92,28,1,1,2,1,1,3,2,3,?,7.2,1,1,37,6.1,1,?,2,2,0,0,0,1
1,1,534917,38.2,76,28,3,1,1,1,3,4,1,2,2,?,4,4,46,81,1,2,1,1,2112,0,0,2
1,1,530233,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4,?,45,6.8,?,?,2,1,3207,0,0,2
1,9,5301219,?,128,36,3,3,4,2,4,4,3,3,?,?,4,5,53,7.8,3,4.7,2,2,1400,0,0,1
2,1,526639,37.5,48,24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,2,0,0,0,2
