mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
23.5,6,173.0,110.0,2725,12.6,81,1,chevrolet citation
18.5,6,250.0,110.0,3645,16.2,76,1,pontiac ventura sj
19.0,6,225.0,100.0,3630,17.7,77,1,plymouth volare custom
26.0,4,96.0,69.0,2189,18.0,72,2,renault 12 (sw)
15.5,8,351.0,142.0,4054,14.3,79,1,ford country squire (sw)
30.0,4,97.0,67.0,1985,16.4,77,3,subaru dl
16.2,6,163.0,133.0,3410,15.8,78,2,peugeot 604sl
16.0,8,400.0,170.0,4668,11.5,75,1,pontiac catalina
17.6,6,225.0,85.0,3465,16.6,81,1,chrysler lebaron salon
19.0,6,232.0,90.0,3211,17.0,75,1,amc pacer
40.9,4,85.0,,1835,17.3,80,2,renault lecar deluxe
24.0,4,121.0,110.0,2660,14.0,73,2,saab 99le
19.2,6,231.0,105.0,3535,19.2,78,1,pontiac phoenix lj
27.2,4,135.0,84.0,2490,15.7,81,1,plymouth reliant
15.0,8,350.0,145.0,4082,13.0,73,1,chevrolet monte carlo s
23.8,4,151.0,85.0,2855,17.6,78,1,oldsmobile starfire sx
18.0,8,307.0,130.0,3504,12.0,70,1,chevrolet chevelle malibu
16.5,6,168.0,120.0,3820,16.7,76,2,mercedes-benz 280s
13.0,8,307.0,130.0,4098,14.0,72,1,chevrolet chevelle concours (sw)
17.7,6,231.0,165.0,3445,13.4,78,1,buick regal sport coupe (turbo)
29.0,4,90.0,70.0,1937,14.0,75,2,volkswagen rabbit
25.0,4,121.0,115.0,2671,13.5,75,2,saab 99le
13.0,8,318.0,150.0,3940,13.2,76,1,plymouth volare premier v8
18.0,4,121.0,112.0,2933,14.5,72,2,volvo 145e (sw)
25.5,4,140.0,89.0,2755,15.8,77,1,ford mustang ii 2+2
17.5,6,250.0,110.0,3520,16.4,77,1,chevrolet concours
26.0,4,98.0,79.0,2255,17.7,76,1,dodge colt
34.5,4,105.0,70.0,2150,14.9,79,1,plymouth horizon tc3
18.0,6,199.0,97.0,2774,15.5,70,1,amc hornet
18.0,6,232.0,100.0,3288,15.5,71,1,amc matador
29.8,4,134.0,90.0,2711,15.5,80,3,toyota corona liftback
13.0,8,360.0,170.0,4654,13.0,73,1,plymouth custom suburb
20.0,4,97.0,88.0,2279,19.0,73,3,toyota carina
20.0,4,114.0,91.0,2582,14.0,73,2,audi 100ls
14.0,8,400.0,175.0,4385,12.0,72,1,pontiac catalina
19.0,6,250.0,88.0,3302,15.5,71,1,ford torino 500
24.0,4,90.0,75.0,2108,15.5,74,2,fiat 128
26.0,4,91.0,70.0,1955,20.5,71,1,plymouth cricket
34.1,4,86.0,65.0,1975,15.2,79,3,maxda glc deluxe
16.0,8,304.0,150.0,3433,12.0,70,1,amc rebel sst
31.0,4,71.0,65.0,1773,19.0,71,3,toyota corolla 1200
27.0,4,101.0,83.0,2202,15.3,76,2,renault 12tl
26.0,4,108.0,93.0,2391,15.5,74,3,subaru
17.0,6,231.0,110.0,3907,21.0,75,1,buick century
28.0,4,97.0,75.0,2155,16.4,76,3,toyota corolla
21.0,6,231.0,110.0,3039,15.0,75,1,buick skyhawk
13.0,8,400.0,170.0,4746,12.0,71,1,ford country squire (sw)
26.0,4,121.0,113.0,2234,12.5,70,2,bmw 2002
29.8,4,89.0,62.0,1845,15.3,80,2,vokswagen rabbit
29.0,4,97.0,78.0,1940,14.5,77,2,volkswagen rabbit custom
24.0,4,119.0,97.0,2545,17.0,75,3,datsun 710
23.9,8,260.0,90.0,3420,22.2,79,1,oldsmobile cutlass salon brougham
32.4,4,108.0,75.0,2350,16.8,81,3,toyota corolla
13.0,8,350.0,150.0,4699,14.5,74,1,buick century luxus (sw)
16.0,6,258.0,110.0,3632,18.0,74,1,amc matador
26.0,4,116.0,75.0,2246,14.0,74,2,fiat 124 tc
28.8,6,173.0,115.0,2595,11.3,79,1,chevrolet citation
30.0,4,135.0,84.0,2385,12.9,81,1,plymouth reliant
18.0,6,250.0,88.0,3139,14.5,71,1,ford mustang
27.2,4,119.0,97.0,2300,14.7,78,3,datsun 510
25.0,4,116.0,81.0,2220,16.9,76,2,opel 1900
16.0,6,250.0,100.0,3781,17.0,74,1,chevrolet chevelle malibu classic
21.0,6,200.0,85.0,2587,16.0,70,1,ford maverick
12.0,8,400.0,167.0,4906,12.5,73,1,ford country
28.0,4,98.0,80.0,2164,15.0,72,1,dodge colt (sw)
23.6,4,140.0,,2905,14.3,80,1,ford mustang cobra
19.9,8,260.0,110.0,3365,15.5,78,1,oldsmobile cutlass salon brougham
16.0,8,318.0,150.0,4498,14.5,75,1,plymouth grand fury
26.0,4,97.0,46.0,1835,20.5,70,2,volkswagen 1131 deluxe sedan
32.7,6,168.0,132.0,2910,11.4,80,3,datsun 280-zx
29.0,4,90.0,70.0,1937,14.2,76,2,vw rabbit
40.8,4,85.0,65.0,2110,19.2,80,3,datsun 210
31.6,4,120.0,74.0,2635,18.3,81,3,mazda 626
15.0,6,250.0,72.0,3158,19.5,75,1,ford maverick
26.0,4,98.0,90.0,2265,15.5,73,2,fiat 124 sport coupe
36.0,4,105.0,74.0,1980,15.3,82,2,volkswagen rabbit l
22.0,6,146.0,97.0,2815,14.5,77,3,datsun 810
13.0,8,350.0,155.0,4502,13.5,72,1,buick lesabre custom
11.0,8,400.0,150.0,4997,14.0,73,1,chevrolet impala
15.0,8,383.0,170.0,3563,10.0,70,1,dodge challenger se
25.0,4,90.0,71.0,2223,16.5,75,2,volkswagen dasher
23.2,4,156.0,105.0,2745,16.7,78,1,plymouth sapporo
21.1,4,134.0,95.0,2515,14.8,78,3,toyota celica gt liftback
22.0,6,250.0,105.0,3353,14.5,76,1,chevrolet nova
17.0,8,260.0,110.0,4060,19.0,77,1,oldsmobile cutlass supreme
16.0,8,400.0,180.0,4220,11.1,77,1,pontiac grand prix lj
19.0,4,121.0,112.0,2868,15.5,73,2,volvo 144ea
43.4,4,90.0,48.0,2335,23.7,80,2,vw dasher (diesel)
26.6,8,350.0,105.0,3725,19.0,81,1,oldsmobile cutlass ls
25.0,4,104.0,95.0,2375,17.5,70,2,saab 99e
24.2,6,146.0,120.0,2930,13.8,81,3,datsun 810 maxima
15.0,8,318.0,150.0,3399,11.0,73,1,dodge dart custom
30.9,4,105.0,75.0,2230,14.5,78,1,dodge omni
32.0,4,85.0,70.0,1990,17.0,76,3,datsun b-210
37.0,4,91.0,68.0,2025,18.2,82,3,mazda glc custom l
22.0,6,225.0,100.0,3233,15.4,76,1,plymouth valiant
24.0,6,200.0,81.0,3012,17.6,76,1,ford maverick
17.0,6,163.0,125.0,3140,13.6,78,2,volvo 264gl
14.0,8,351.0,148.0,4657,13.5,75,1,ford ltd
9.0,8,304.0,193.0,4732,18.5,70,1,hi 1200d
31.0,4,79.0,67.0,1950,19.0,74,3,datsun b210
22.0,4,140.0,72.0,2408,19.0,71,1,chevrolet vega (sw)
19.0,4,122.0,85.0,2310,18.5,73,1,ford pinto
14.0,8,454.0,220.0,4354,9.0,70,1,chevrolet impala
17.0,8,302.0,140.0,3449,10.5,70,1,ford torino
33.0,4,105.0,74.0,2190,14.2,81,2,volkswagen jetta
31.3,4,120.0,75.0,2542,17.5,80,3,mazda 626
31.9,4,89.0,71.0,1925,14.0,79,2,vw rabbit custom
17.0,6,250.0,100.0,3329,15.5,71,1,chevrolet chevelle malibu
26.0,4,97.0,46.0,1950,21.0,73,2,volkswagen super beetle
36.4,5,121.0,67.0,2950,19.9,80,2,audi 5000s (diesel)
24.0,4,107.0,90.0,2430,14.5,70,2,audi 100 ls
27.5,4,134.0,95.0,2560,14.2,78,3,toyota corona
23.0,4,140.0,83.0,2639,17.0,75,1,ford pinto
14.0,8,351.0,153.0,4154,13.5,71,1,ford galaxie 500
14.0,8,318.0,150.0,4457,13.5,74,1,dodge coronet custom (sw)
11.0,8,350.0,180.0,3664,11.0,73,1,oldsmobile omega
28.0,4,116.0,90.0,2123,14.0,71,2,opel 1900
36.0,4,120.0,88.0,2160,14.5,82,3,nissan stanza xe
33.7,4,107.0,75.0,2210,14.4,81,3,honda prelude
17.5,8,305.0,145.0,3880,12.5,77,1,chevrolet caprice classic
19.0,6,232.0,100.0,2634,13.0,71,1,amc gremlin
15.0,6,258.0,110.0,3730,19.0,75,1,amc matador
16.5,8,350.0,180.0,4380,12.1,76,1,cadillac seville
25.1,4,140.0,88.0,2720,15.4,78,1,ford fairmont (man)
23.9,4,119.0,97.0,2405,14.9,78,3,datsun 200-sx
18.0,6,232.0,100.0,2945,16.0,73,1,amc hornet
19.0,6,225.0,95.0,3264,16.0,75,1,plymouth valiant custom
18.0,6,250.0,105.0,3459,16.0,75,1,chevrolet nova
31.8,4,85.0,65.0,2020,19.2,79,3,datsun 210
36.1,4,98.0,66.0,1800,14.4,78,1,ford fiesta
38.1,4,89.0,60.0,1968,18.8,80,3,toyota corolla tercel
32.4,4,107.0,72.0,2290,17.0,80,3,honda accord
31.0,4,76.0,52.0,1649,16.5,74,3,toyota corona
21.0,4,120.0,87.0,2979,19.5,72,2,peugeot 504 (sw)
16.0,6,250.0,105.0,3897,18.5,75,1,chevroelt chevelle malibu
14.0,8,455.0,225.0,4425,10.0,70,1,pontiac catalina
32.9,4,119.0,100.0,2615,14.8,81,3,datsun 200sx
13.0,8,440.0,215.0,4735,11.0,73,1,chrysler new yorker brougham
37.0,4,85.0,65.0,1975,19.4,81,3,datsun 210 mpg
30.0,4,98.0,68.0,2155,16.5,78,1,chevrolet chevette
15.0,8,302.0,130.0,4295,14.9,77,1,mercury cougar brougham
24.0,4,120.0,97.0,2489,15.0,74,3,honda civic
43.1,4,90.0,48.0,1985,21.5,78,2,volkswagen rabbit custom diesel
18.6,6,225.0,110.0,3620,18.7,78,1,dodge aspen
35.0,4,122.0,88.0,2500,15.1,80,2,triumph tr7 coupe
21.0,6,155.0,107.0,2472,14.0,73,1,mercury capri v6
20.5,6,231.0,105.0,3425,16.9,77,1,buick skylark
39.0,4,86.0,64.0,1875,16.4,81,1,plymouth champ
21.5,3,80.0,110.0,2720,13.5,77,3,mazda rx-4
34.3,4,97.0,78.0,2188,15.8,80,2,audi 4000
21.6,4,121.0,115.0,2795,15.7,78,2,saab 99gle
28.4,4,151.0,90.0,2670,16.0,79,1,buick skylark limited
14.0,8,318.0,150.0,4096,13.0,71,1,plymouth fury iii
29.0,4,97.0,75.0,2171,16.0,75,3,toyota corolla
15.0,8,390.0,190.0,3850,8.5,70,1,amc ambassador dpl
15.5,8,304.0,120.0,3962,13.9,76,1,amc matador
19.4,8,318.0,140.0,3735,13.2,78,1,dodge diplomat
37.3,4,91.0,69.0,2130,14.7,79,2,fiat strada custom
18.0,6,225.0,105.0,3613,16.5,74,1,plymouth satellite sebring
18.1,8,302.0,139.0,3205,11.2,78,1,ford futura
28.0,4,107.0,86.0,2464,15.5,76,2,fiat 131
22.4,6,231.0,110.0,3415,15.8,81,1,buick century
18.0,6,171.0,97.0,2984,14.5,75,1,ford pinto
14.0,8,340.0,160.0,3609,8.0,70,1,plymouth 'cuda 340
19.2,8,267.0,125.0,3605,15.0,79,1,chevrolet malibu classic (sw)
13.0,8,360.0,175.0,3821,11.0,73,1,amc ambassador brougham
25.5,4,122.0,96.0,2300,15.5,77,1,plymouth arrow gs
17.5,6,258.0,95.0,3193,17.8,76,1,amc pacer d/l
30.5,4,97.0,78.0,2190,14.1,77,2,volkswagen dasher
33.0,4,91.0,53.0,1795,17.5,75,3,honda civic cvcc
25.0,4,140.0,75.0,2542,17.0,74,1,chevrolet vega
