id,height,country,distance,dock,rank,function,usage,dose,count,max,weight,cat1,class,age,target
1,63821.54,CO-10,40021,DO-0,RA-1A,FU-19,6555,7667,16768,3825,NA,CA-D,CL-5,11021,TA-0
2,62538.14,CO-3,27671,DO-7,RA-1E,FU-1C,7045,2464,30875,11136,72499.8823,CA-9,CL-1C,5428,TA-3
3,51255.89,CO-5,53351,DO-1,RA-17,FU-1D,6391,5270,36697,8435,24698.3415,CA-9,CL-C,12893,TA-1
4,61065.0,CO-11,54899,DO-A,RA-A,FU-2A,3374,7548,21869,8383,NA,CA-20,CL-21,12605,TA-4
5,51333.66,CO-A,31919,DO-B,RA-1E,FU-21,5220,3389,27420,10566,17632.8785,CA-29,CL-7,3153,TA-2
6,34373.1,CO-D,46718,DO-2,RA-26,FU-11,5710,5488,31153,7862,60045.6739,CA-19,CL-7,8013,TA-2
7,64180.1,CO-0,44915,DO-F,RA-14,FU-8,5156,2202,14362,9600,50827.2074,CA-10,CL-12,7276,TA-0
8,68536.21,CO-4,43581,DO-1,RA-6,FU-C,7171,10255,8213,7595,24252.5748,CA-19,CL-18,9052,TA-1
9,45398.65,CO-1,35271,DO-B,RA-5,FU-1D,3638,7378,5145,8984,35004.7028,CA-19,CL-22,12768,TA-1
10,49754.1,CO-8,37339,DO-C,RA-13,FU-1C,4604,3132,7962,8916,23157.2382,CA-19,CL-C,3423,TA-0
11,52030.55,CO-14,27669,DO-F,RA-29,FU-2A,5369,2968,4292,10336,44213.5969,CA-C,CL-25,13075,TA-4
12,76566.73,CO-5,49588,DO-3,RA-21,FU-11,6638,10193,16844,10643,48568.8524,CA-1F,CL-15,3036,TA-4
13,39195.12,CO-4,27123,DO-A,RA-14,FU-13,5022,4554,18215,6910,69234.9552,CA-27,CL-D,13182,TA-4
14,70295.41,CO-10,39864,DO-1,RA-1F,FU-1,5598,1488,7122,10043,23626.574,CA-7,CL-A,3013,TA-1
15,54875.08,CO-A,37413,DO-F,RA-25,FU-7,3302,553,2048,10845,74866.8517,CA-1B,CL-F,4818,TA-4
16,28805.99,CO-D,48170,DO-2,RA-F,FU-11,3534,10041,21168,8899,77934.0726,CA-10,CL-3,9329,TA-2
17,65182.6,CO-4,49803,DO-A,RA-17,FU-E,4349,2904,8399,10115,59544.4248,CA-5,CL-1A,9051,TA-4
18,47858.52,CO-10,27519,DO-E,RA-1D,FU-4,6793,1306,15020,8884,NA,CA-B,CL-A,6130,TA-2
19,63852.44,CO-10,42022,DO-3,RA-1F,FU-7,6415,3148,33697,6008,44173.0993,CA-23,CL-17,3806,TA-3
20,46685.83,CO-14,40097,DO-8,RA-28,FU-1C,6285,2735,2540,6278,NA,CA-26,CL-5,8402,TA-4
21,51023.16,CO-11,44565,DO-0,RA-27,FU-15,5896,10496,2981,6300,NA,CA-28,CL-10,9175,TA-4
22,39801.62,CO-8,39747,DO-A,RA-1E,FU-3,4345,8418,15078,11870,80216.6455,CA-1E,CL-16,11328,TA-4
23,62276.71,CO-12,29923,DO-3,RA-27,FU-22,7509,10968,2869,8881,17542.6295,CA-29,CL-8,14284,TA-3
24,50931.54,CO-A,37686,DO-7,RA-6,FU-26,3684,5816,6963,5727,18169.4447,CA-2B,CL-9,2570,TA-1
25,52599.34,CO-5,37207,DO-4,RA-3,FU-20,4680,6779,8888,4999,NA,CA-23,CL-23,6698,TA-0
26,31427.05,CO-D,36617,DO-6,RA-25,FU-1B,4806,1665,810,10397,81366.7426,CA-E,CL-15,11609,TA-3
27,71996.29,CO-2,31058,DO-3,RA-14,FU-5,5043,5059,26880,9283,82049.8336,CA-0,CL-12,1655,TA-0
28,48424.29,CO-0,35194,DO-4,RA-18,FU-13,6749,872,15496,9245,39602.5604,CA-29,CL-11,3118,TA-1
29,62953.12,CO-B,34444,DO-F,RA-2,FU-C,5082,3838,18375,10050,69938.8765,CA-9,CL-9,2424,TA-2
30,53596.5,CO-13,47875,DO-12,RA-6,FU-D,5663,10755,17713,10389,17965.7958,CA-B,CL-8,12272,TA-3
31,62147.99,CO-C,33789,DO-0,RA-1B,FU-1F,6535,7684,1089,12816,40665.0149,CA-13,CL-D,13052,TA-3
32,50943.01,CO-12,33125,DO-C,RA-29,FU-19,5219,2618,8312,7802,29066.8193,CA-5,CL-1F,5137,TA-2
33,53210.1,CO-13,35124,DO-1,RA-B,FU-2,5785,2622,24605,10744,10706.4265,CA-20,CL-3,7462,TA-0
34,55013.7,CO-3,50459,DO-6,RA-20,FU-3,6094,3325,16908,9560,63821.2507,CA-0,CL-13,13076,TA-2
35,41517.93,CO-6,41501,DO-D,RA-13,FU-17,7626,2710,10490,11382,39632.4289,CA-25,CL-B,9065,TA-0
36,59208.99,CO-13,48675,DO-3,RA-13,FU-17,4832,2782,28215,9075,20661.2915,CA-1B,CL-1,13479,TA-0
37,57771.47,CO-C,36532,DO-0,RA-4,FU-16,4637,537,29769,4604,17156.7223,CA-12,CL-22,9043,TA-0
38,65028.12,CO-3,46984,DO-8,RA-D,FU-1F,4549,2482,15770,7979,40908.9209,CA-1A,CL-19,2467,TA-1
39,38735.86,CO-13,37411,DO-10,RA-1B,FU-5,6607,2459,13894,8361,74312.1076,CA-5,CL-1,1418,TA-3
40,44005.38,CO-0,31494,DO-10,RA-24,FU-5,4665,4158,2182,7504,55585.4205,CA-7,CL-1B,930,TA-1
41,40078.46,CO-C,43859,DO-10,RA-18,FU-6,3570,4234,3301,9146,3418.0996,CA-25,CL-0,867,TA-1
42,72005.99,CO-A,62139,DO-0,RA-19,FU-A,4699,1241,26890,5707,4079.6457,CA-3,CL-1F,13254,TA-0
43,53098.31,CO-0,46203,DO-9,RA-10,FU-27,4205,4379,24283,8321,28427.5524,CA-18,CL-D,12202,TA-0
44,48088.88,CO-9,34456,DO-2,RA-27,FU-7,5404,299,4030,9792,15121.8785,CA-27,CL-1A,6584,TA-1
45,35694.65,CO-1,28098,DO-5,RA-27,FU-26,5376,1652,17415,7199,NA,CA-13,CL-2,7034,TA-0
46,57804.77,CO-3,21790,DO-10,RA-7,FU-18,5724,6345,24239,8460,78873.5032,CA-2C,CL-19,12829,TA-4
47,35087.59,CO-12,37052,DO-0,RA-25,FU-15,5201,3831,23188,5063,51954.9527,CA-1D,CL-1B,7345,TA-2
48,69495.33,CO-D,31886,DO-12,RA-4,FU-28,7311,6379,13263,8137,17029.3062,CA-F,CL-26,459,TA-3
49,53096.78,CO-D,57456,DO-2,RA-A,FU-1E,7245,843,24001,8784,54145.9182,CA-1B,CL-11,6033,TA-2
50,75752.67,CO-F,41321,DO-2,RA-6,FU-28,5375,1081,28733,10758,55531.0689,CA-6,CL-1E,7515,TA-1
51,40398.51,CO-7,30367,DO-3,RA-16,FU-1B,4189,3882,32100,7489,20512.1839,CA-F,CL-1D,10440,TA-0
52,34379.09,CO-10,40215,DO-E,RA-17,FU-10,3798,2923,14203,6831,25127.0723,CA-E,CL-24,12930,TA-0
53,61656.1,CO-9,29274,DO-2,RA-5,FU-19,5581,5666,35413,8916,2773.5675,CA-21,CL-1D,5488,TA-0
54,49144.15,CO-C,41902,DO-4,RA-26,FU-14,4369,7096,13450,7835,56046.7518,CA-A,CL-13,13324,TA-2
55,69762.14,CO-7,50529,DO-12,RA-1,FU-2B,3877,6607,7516,9752,NA,CA-1,CL-25,12390,TA-1
56,63295.89,CO-B,47345,DO-E,RA-21,FU-13,4394,6628,8157,8653,43367.9384,CA-1,CL-13,6328,TA-3
57,47317.15,CO-5,32850,DO-D,RA-24,FU-1F,6935,1454,29717,9956,29811.0686,CA-15,CL-1A,6021,TA-2
58,44127.87,CO-12,42244,DO-10,RA-14,FU-19,4742,3506,13760,9046,69495.5177,CA-18,CL-5,11009,TA-2
59,45099.03,CO-D,48508,DO-2,RA-D,FU-1F,4828,8787,2608,6438,NA,CA-26,CL-1B,5122,TA-4
60,48814.9,CO-14,52016,DO-B,RA-8,FU-16,7016,8110,32951,6759,19865.2203,CA-19,CL-0,4376,TA-3
61,45079.23,CO-12,36127,DO-F,RA-1A,FU-22,6354,6576,16709,13603,16678.5823,CA-8,CL-A,12994,TA-4
62,40823.0,CO-3,53282,DO-D,RA-2,FU-1B,4839,9837,21131,9750,31164.7816,CA-2A,CL-25,9643,TA-3
63,26250.33,CO-4,29976,DO-E,RA-3,FU-1D,4563,2350,33041,8641,44099.9133,CA-2B,CL-5,7764,TA-1
64,54041.31,CO-6,24373,DO-2,RA-D,FU-C,5146,1023,7262,10109,54738.9725,CA-17,CL-17,6577,TA-0
65,50543.86,CO-6,36845,DO-9,RA-1C,FU-3,5803,6773,27826,9549,46319.8175,CA-0,CL-1A,7783,TA-2
66,70994.5,CO-D,23533,DO-12,RA-12,FU-F,4116,6288,32863,10187,8947.7983,CA-7,CL-11,11863,TA-0
67,56398.49,CO-13,36168,DO-0,RA-C,FU-1B,4377,7375,29867,10229,27519.1425,CA-2,CL-21,2102,TA-0
68,52542.42,CO-9,48731,DO-5,RA-A,FU-27,5500,1219,27618,8483,44246.1166,CA-2A,CL-A,6561,TA-2
69,32760.2,CO-F,31925,DO-11,RA-B,FU-2B,7145,2543,6364,8376,73349.4388,CA-26,CL-D,2302,TA-3
70,50990.82,CO-10,24237,DO-E,RA-10,FU-25,4081,3509,3440,8927,51625.6396,CA-1,CL-B,3991,TA-0
71,50174.38,CO-11,31043,DO-6,RA-3,FU-3,5492,10298,31998,11000,27791.2237,CA-1B,CL-8,6318,TA-1
72,42472.72,CO-8,42452,DO-F,RA-1E,FU-1B,6823,4894,33210,9740,31423.2411,CA-2C,CL-22,8795,TA-4
73,73817.91,CO-7,37160,DO-6,RA-8,FU-13,5331,5788,29968,8812,NA,CA-13,CL-25,11033,TA-3
74,62019.73,CO-F,42034,DO-D,RA-28,FU-4,7473,3543,16151,10396,42021.2457,CA-9,CL-24,7577,TA-4
75,48205.34,CO-13,46167,DO-10,RA-B,FU-1,2687,2624,24719,7847,12887.1886,CA-11,CL-19,14217,TA-2
76,43618.67,CO-6,41028,DO-F,RA-19,FU-6,4476,8323,10173,5332,9683.0443,CA-1A,CL-11,13525,TA-0
77,48662.19,CO-2,42498,DO-9,RA-B,FU-2A,5691,3861,26559,7565,21591.6731,CA-16,CL-1B,5753,TA-1
78,36285.8,CO-D,53794,DO-9,RA-19,FU-0,5595,9890,15429,6543,24545.3522,CA-22,CL-17,9564,TA-2
79,47619.4,CO-B,39991,DO-5,RA-25,FU-4,5050,1945,25413,6941,54106.3934,CA-2A,CL-0,10026,TA-2
80,49118.02,CO-14,55762,DO-A,RA-C,FU-10,5928,4820,5925,7235,81394.069,CA-3,CL-4,9555,TA-4
81,58889.54,CO-5,37154,DO-2,RA-24,FU-13,6463,4405,35220,7391,55673.3535,CA-D,CL-22,4661,TA-2
82,47534.03,CO-B,45165,DO-A,RA-8,FU-1C,6683,8244,11417,5094,1309.4443,CA-2D,CL-0,8814,TA-1
83,63586.79,CO-1,39558,DO-2,RA-23,FU-1E,7445,7306,24525,6347,49747.1114,CA-A,CL-10,437,TA-1
84,59350.42,CO-9,48853,DO-9,RA-F,FU-1F,4206,10896,8889,11898,14499.2237,CA-2C,CL-1A,2421,TA-1
85,62596.92,CO-E,27905,DO-C,RA-F,FU-8,7678,330,10441,6985,44572.1317,CA-26,CL-1C,7725,TA-3
86,45125.34,CO-11,53190,DO-B,RA-22,FU-D,6473,3403,2762,10241,20017.5686,CA-21,CL-5,1148,TA-3
87,59868.02,CO-6,28670,DO-10,RA-1,FU-4,6178,1597,5553,6628,11521.3941,CA-29,CL-20,1552,TA-1
88,77247.7,CO-C,33684,DO-B,RA-1A,FU-15,5886,7286,27427,10065,20645.3897,CA-1,CL-25,2008,TA-3
89,59251.27,CO-0,36968,DO-10,RA-11,FU-9,7183,9894,28068,3149,36836.3748,CA-13,CL-18,8138,TA-4
90,56159.55,CO-12,26355,DO-7,RA-1D,FU-25,1142,1793,23835,10451,21805.1204,CA-22,CL-11,2680,TA-1
91,46490.44,CO-10,36670,DO-12,RA-F,FU-17,4932,1120,9335,8757,54795.1151,CA-E,CL-24,11318,TA-3
92,37766.83,CO-4,46157,DO-6,RA-0,FU-1E,4897,4561,22290,7857,NA,CA-D,CL-11,2493,TA-0
93,33360.73,CO-6,29576,DO-A,RA-9,FU-2A,4585,8130,34846,12172,10453.6621,CA-24,CL-1F,3416,TA-0
94,52749.47,CO-10,25682,DO-8,RA-27,FU-29,5639,941,5485,9008,20865.4161,CA-19,CL-4,9212,TA-1
95,25883.55,CO-2,40188,DO-0,RA-5,FU-23,7672,6796,10184,9007,41547.1139,CA-1F,CL-1,8680,TA-0
96,53456.89,CO-10,29800,DO-12,RA-8,FU-25,6247,7322,13445,7609,59493.6788,CA-17,CL-6,7998,TA-3
97,66949.22,CO-0,25709,DO-12,RA-27,FU-1E,2793,6233,13111,11527,10363.2417,CA-12,CL-5,11650,TA-0
98,57686.83,CO-C,45804,DO-8,RA-8,FU-26,6247,1127,22536,11685,82307.2427,CA-18,CL-F,14368,TA-3
99,13708.96,CO-E,11099,DO-1,RA-B,FU-B,5184,9991,11710,5966,36082.5283,CA-1D,CL-D,8484,TA-0
100,61339.42,CO-1,59653,DO-A,RA-1D,FU-26,3094,1783,19695,8874,80395.1395,CA-1B,CL-6,6967,TA-3
101,46799.07,CO-8,50275,DO-0,RA-26,FU-1,6709,1621,23413,12743,NA,CA-0,CL-3,11014,TA-1
102,52326.03,CO-5,43111,DO-12,RA-2,FU-17,6627,7898,26489,8777,66956.325,CA-2C,CL-B,5870,TA-4
103,72171.01,CO-C,48574,DO-A,RA-18,FU-11,7701,3254,7326,8483,7891.7946,CA-2A,CL-1E,3009,TA-3
104,43234.51,CO-8,26590,DO-E,RA-22,FU-21,6600,1141,31697,9443,36659.3033,CA-1,CL-1B,9390,TA-1
105,54040.59,CO-5,46949,DO-D,RA-6,FU-3,6823,5983,20142,7184,35782.1404,CA-2,CL-1,3519,TA-1
106,72742.92,CO-A,51905,DO-7,RA-17,FU-22,6285,3445,29948,6458,15863.3228,CA-2,CL-14,6513,TA-0
107,51478.32,CO-11,58329,DO-10,RA-6,FU-2,5733,8684,25734,5604,44690.3138,CA-0,CL-0,10658,TA-3
108,68745.06,CO-2,30662,DO-2,RA-6,FU-4,5764,10675,27770,8751,61473.5896,CA-8,CL-10,11757,TA-1
109,74439.75,CO-0,57230,DO-5,RA-1B,FU-B,5130,8029,34343,12120,84238.1779,CA-29,CL-17,7521,TA-4
110,49533.05,CO-E,48363,DO-11,RA-1,FU-C,5191,3645,27381,7804,31130.9321,CA-13,CL-17,7160,TA-2
111,46503.78,CO-3,45619,DO-F,RA-23,FU-27,6335,6058,4770,8951,33551.0455,CA-4,CL-1D,8290,TA-2
