id,distance,height,landings,number,pack,age,usage,region,weight,item,volume,width,max,power,size,target
1,7016,4288.3573,25529.90428,7249.94628,25903.6888,32525.2395,42379.55082,RE-5,2946,IT-13,56681,29190.363,3034,14164,907,-8.165592381333878
2,5223,3779.5255,24691.88173,16324.98544,33541.2187,28655.7217,34146.26994,RE-0,3162,IT-B,21137,34778.458,478,13643,1437,-21.34868582641278
3,5621,3373.0807,4757.64643,18773.35196,44325.7322,30524.5671,32143.32303,RE-F,4177,IT-B,43742,33284.777,9876,15001,1190,-26.013428824255307
4,2079,12604.1424,3389.28333,32606.07196,41148.5538,43109.4366,22653.88045,RE-B,2476,IT-0,66635,23178.492,5539,16054,1296,-20.79598432014282
5,1995,18608.0976,9193.71008,60830.27242,55471.5772,33459.4053,49884.72107,RE-9,905,IT-0,38405,25871.363,13874,19105,803,-21.3650678271279
6,4463,3611.2382,38484.9009,50855.75388,42547.2209,29235.8011,32405.79372,RE-1,3583,IT-3,54682,30307.429,27650,12803,1339,-10.866995402729229
7,4121,1387.9591,12093.62845,19412.80758,13932.925,28378.8506,17456.11417,RE-0,757,IT-12,44874,29228.447,31558,12568,1029,-17.97348980964124
8,6932,1419.9883,31077.33008,25330.45704,20465.3728,16457.429,40317.21147,RE-0,3453,IT-0,71888,18320.013,15867,7155,1422,-21.344085485968286
9,2934,7264.8722,31236.38727,59566.22227,37264.8832,47374.5163,16084.3149,RE-2,1315,IT-F,26724,NA,2043,12560,1158,-36.634696735561214
10,6457,8245.3336,23053.09506,41601.68884,24918.0567,35670.1034,39425.13801,RE-11,4375,IT-0,43079,20164.27,18178,16549,1747,13.215100829504546
11,3538,6810.4909,29508.61301,30700.26088,39867.0756,15036.5343,31939.2635,RE-9,3523,IT-11,61074,NA,24271,14340,1287,-26.11484650884633
12,4220,5174.1181,42548.1327,1158.53191,32836.9822,31952.9862,28996.55304,RE-2,4081,IT-C,18195,20801.314,8630,11631,1668,-2.9635977751034233
13,3880,6087.8133,22783.51069,61009.10687,27616.6116,33642.7924,45961.08692,RE-5,946,IT-12,63785,31741.542,27840,16539,1302,39.961044877562614
14,6198,5946.0008,11507.64982,20202.6987,64762.032,34222.413,30045.73805,RE-1,2291,IT-B,46970,16923.775,26202,17732,1268,-125.35317700657863
15,4196,2775.1451,32302.63439,32858.73546,37474.7959,45245.674,28012.53646,RE-9,3998,IT-8,67087,37514.074,30488,7470,1285,-2.048353847414464
16,3302,17635.0669,5555.70787,28465.63883,52281.3214,47970.8062,27288.46758,RE-10,2536,IT-10,61122,24855.239,17560,12578,1496,12.01631145002078
17,6369,15602.9341,15419.86707,54300.41423,44992.3734,49742.0697,24308.74703,RE-8,3113,IT-9,25590,27806.327,27421,8531,1150,-23.559896463503488
18,5449,2404.9833,1082.08002,12070.31357,54325.7583,50513.4697,39480.6263,RE-6,1969,IT-3,6866,19479.882,31652,7009,1375,-50.0497104832546
19,4700,15277.979,19039.60944,46993.45042,39914.7981,48466.9494,12819.46649,RE-1,4360,IT-2,38286,27608.405,16598,11002,1336,-20.45512896353289
20,5778,16260.8649,6863.21086,22545.03173,42123.1444,43988.4625,25377.85259,RE-B,4518,IT-E,37406,30234.956,18073,23120,1629,32.7067145574303
21,4075,10375.362,19333.21904,10104.78962,43595.494,42840.3397,31829.99856,RE-4,3299,IT-E,64614,32627.419,6370,16791,1707,48.58377796374014
22,3529,2522.0625,9989.17539,43944.46335,33639.4788,47723.5363,38378.88499,RE-10,3624,IT-1,55500,30119.948,2428,16196,1438,-3.9923702692691823
23,5951,13638.6865,36623.35612,45151.45839,36941.7742,28428.4824,24378.53364,RE-B,4398,IT-8,34511,26553.53,21354,15191,819,-20.35952249584735
24,5967,8445.7701,29898.84732,24940.48545,30701.1708,31265.4876,16527.56011,RE-B,4614,IT-E,56194,27916.821,14568,13133,1071,-10.925120698485568
25,6946,12195.0583,21531.96746,42886.15598,44741.9671,30757.5382,29900.81582,RE-E,3141,IT-E,51390,27211.418,28723,10901,1745,234.53007812913273
26,5222,10251.6401,34299.38736,11460.03127,67416.7526,29509.3322,35549.10915,RE-B,4702,IT-11,40843,27097.886,3341,19833,1141,-9.960090413106323
27,4611,1355.7244,27982.06906,18401.16539,56651.5099,53717.2521,19754.42471,RE-3,1338,IT-0,43261,24853.008,34461,16474,1339,-34.3725518233658
28,5062,9980.9078,30148.93507,8660.6378,52680.8859,27886.7585,49496.60489,RE-E,2887,IT-B,25980,22224.199,17133,22495,1566,15.607453555784552
29,4891,2851.8781,7877.21831,56725.93683,47156.8691,35350.1211,42344.59643,RE-F,2177,IT-10,41737,23669.787,28773,6880,946,-32.72104139644623
30,2887,11527.9847,6327.18719,40335.08803,20339.7865,48047.4875,17949.24565,RE-0,1296,IT-10,40179,27907.0,13376,24649,1726,29.529924263029727
31,3730,1979.5627,12662.84544,52555.54579,28819.7362,27496.3978,43975.70026,RE-A,1238,IT-F,26437,31213.523,17611,10833,1181,-18.88532182670214
32,6832,15250.4318,40042.24114,7827.18158,26388.332,36436.5512,23699.26215,RE-E,2633,IT-4,41533,18955.263,10571,15675,1199,-14.946671991262484
33,7088,11166.718,38367.70346,22055.459,44041.8314,46595.1412,11195.70388,RE-1,1595,IT-2,33596,27929.88,32135,16255,1386,-10.036558217709402
34,5039,16038.6299,19449.34946,43224.78165,48934.0235,50980.8415,24967.61421,RE-E,1671,IT-1,47135,NA,1476,25714,978,-30.574626934711226
35,3677,5401.6685,41503.26336,37046.32292,39584.5572,40727.5013,40043.89876,RE-2,4746,IT-2,65456,30431.611,2935,19186,776,-18.562668942678933
36,6907,2633.8337,24770.73515,13285.57122,38664.4386,38894.3742,40242.81925,RE-10,4931,IT-13,24934,35563.316,32497,8908,1197,3.6089836977964245
37,7873,8750.9505,25567.37727,43398.10599,28523.0865,15969.943,28050.71094,RE-3,3731,IT-5,52302,14429.077,20461,19818,1338,20.35884298306251
38,6770,13597.9977,23083.35628,37802.14674,52242.7218,31001.7082,19114.59885,RE-C,1804,IT-6,62589,26092.101,28385,12571,1441,9.635946389296087
39,3809,13500.4273,4922.12845,6017.35043,77210.071,45598.7879,41570.61327,RE-11,3613,IT-2,48163,26466.675,8389,21155,1039,-18.003564333698936
40,5638,3688.9001,28592.45733,39436.90201,41088.6849,58335.5052,32295.70521,RE-F,4350,IT-A,30824,30682.897,19207,18357,1558,36.9784979593738
41,5069,2146.1286,5098.92358,56723.5616,50963.1951,44997.6259,26415.91046,RE-10,1206,IT-4,40344,NA,29874,12903,1359,-24.989596780837104
42,8592,16022.4987,2242.30447,46090.7012,36186.1382,25500.8679,27882.92126,RE-0,3797,IT-2,20457,30789.802,28311,13502,920,-13.963777806770134
43,5048,14614.5105,17166.60364,61221.84025,37298.5362,29245.4122,5640.14246,RE-2,2832,IT-7,43634,28174.652,27263,21562,927,-19.082141070486323
44,4443,1891.4498,39168.8172,43325.87804,46528.5668,38336.0338,29665.75039,RE-A,4839,IT-6,18974,14602.767,8736,13009,1100,-82.92950898090095
45,5425,17266.628,31198.93157,56584.81964,31864.3978,50338.6316,44554.12134,RE-2,3806,IT-9,32515,18502.251,24054,21233,1282,24.437048169049607
46,6166,12469.8189,10778.2027,5201.79515,21256.1705,43704.0825,36653.59948,RE-F,690,IT-A,64761,31106.88,31611,17167,992,26.839751053203486
47,5125,5684.3823,8305.66673,28468.18088,49313.0868,62908.5807,33355.90623,RE-6,2464,IT-9,26204,NA,11796,20263,1468,20.046465978852584
48,5392,16882.3319,1765.14043,13304.12565,62504.2527,32982.8974,34405.37935,RE-2,2275,IT-12,58152,25049.714,28845,10867,1578,29.49523641173811
49,3247,2305.0946,15789.8409,15101.7153,41193.7407,28819.1942,24537.78542,RE-A,2114,IT-C,59418,25534.171,6342,19300,1024,-26.39566420763292
50,3888,11912.1371,44162.65919,38262.73665,43595.2663,38058.6153,41278.81171,RE-9,1087,IT-5,63012,26701.917,19840,8911,909,-8.597435222896207
51,3477,5614.5749,9596.99192,34283.58576,57018.3766,41141.8784,41602.09645,RE-5,1959,IT-7,49039,33112.097,24492,13658,1334,1.7156547954047667
52,3904,15061.6223,12598.12081,7856.74656,40098.0259,48754.6094,45847.28895,RE-7,1750,IT-8,60071,17357.909,9481,17876,1345,14.419260817901055
53,4592,9818.6628,34845.17105,24234.63117,45369.4414,19897.5533,26706.15948,RE-D,4481,IT-8,66577,18680.692,27651,18796,1652,39.046457559101455
54,5457,5794.3421,24026.43098,18227.57862,41867.2546,45005.4974,29107.413,RE-1,2022,IT-A,58192,28537.328,28175,14181,1426,-16.028291620662085
55,4172,11040.3487,18781.27707,31959.74538,46668.3184,32757.5413,31096.65569,RE-C,1415,IT-6,36253,17603.394,18163,13799,941,-53.77835161686991
56,5333,1224.0522,27015.30702,26400.12846,50485.1229,34668.1407,25254.564,RE-9,3795,IT-E,56463,25787.734,18967,6938,1568,-7.275132308276352
57,4273,10289.8089,16320.97474,50542.07917,50569.1066,32586.5741,19111.07811,RE-D,880,IT-8,48856,33232.096,27197,18488,1333,5.975901024740695
58,5744,9335.9855,14237.72693,54142.5362,24649.1062,31633.6695,36440.93569,RE-8,3734,IT-5,26192,24150.572,11887,11589,1528,-12.040989619591139
59,3702,7588.8867,14928.87519,11608.92195,34964.099,45047.8635,22936.83795,RE-A,1736,IT-8,26999,28582.722,4530,16684,1667,-11.548552698918337
60,3661,15112.9391,7224.268,47000.90361,53951.1102,27002.625,22115.82551,RE-D,3145,IT-4,37986,22447.84,1354,17914,1533,-14.22721188653655
61,4730,7610.0385,1543.41443,43983.81573,54888.5419,58995.7764,42220.09646,RE-9,4358,IT-2,58844,14728.166,13422,14038,1613,-1.2427846526305089
62,7038,10254.4914,31445.75702,11241.26361,23314.441,42813.4235,31719.23264,RE-11,4921,IT-B,50813,35062.285,23976,13136,740,9.579525442082359
63,3583,4034.3577,12271.29546,49691.78469,46081.2779,34844.8379,30997.05445,RE-B,1177,IT-F,37240,35147.685,6955,15222,1236,-19.59553539117148
64,5311,11183.5618,13076.56949,18909.34653,33351.4805,30656.1637,14055.55284,RE-1,1761,IT-13,43145,28991.581,16372,15824,1482,11.007416367330219
65,4149,6634.4473,33039.1745,27067.92586,47668.2968,62454.088,25174.88824,RE-0,2500,IT-2,54422,25980.006,12830,13273,1055,-45.96842583076738
66,4922,12956.4781,31337.50744,40176.27051,28421.6616,34961.0755,45462.2342,RE-F,2031,IT-9,44860,27712.628,9025,18009,1758,43.22920219362741
67,3235,2221.9856,8813.93528,9912.10008,34769.1411,26816.5241,31128.46443,RE-11,2477,IT-12,47186,28017.521,14240,12316,1545,-22.615638512361933
68,4842,17229.9733,40435.3565,46014.28484,57617.7149,49974.6483,11078.68889,RE-C,1752,IT-8,47894,35061.626,5504,18419,1225,-0.2418030288408506
69,5979,7508.4699,38704.27294,55434.7156,36895.3399,49131.7504,31059.84431,RE-3,3300,IT-E,57719,23892.31,5692,15686,880,16.312593231536596
70,6573,6120.7235,15410.88003,25005.53554,29804.2939,51065.5079,38933.18348,RE-C,1369,IT-6,57403,32701.178,25061,4365,1244,4.04072849948558
71,3692,13147.0479,23262.1754,40939.3833,57590.7468,23550.6561,32690.07556,RE-C,2691,IT-2,66530,22311.495,30319,16290,1279,-9.211294550366922
72,5821,14370.2953,11621.52445,50324.08606,38227.9469,47329.9715,32246.13296,RE-F,1583,IT-11,70683,22163.792,25722,16644,1325,47.60950576915737
73,7387,6141.4283,39179.67548,59830.61915,29857.8501,47245.8527,23007.53127,RE-5,2909,IT-2,38092,21486.401,19305,21528,1197,-22.968939662356966
74,2900,13419.9469,17538.18189,35955.10116,46449.74,28718.406,30864.93434,RE-6,3329,IT-13,40927,17060.744,26814,16190,898,-42.607619243817524
