metal,shape,height,length,width,weight
silver,cylinder,6,5,5,1235.82
bronze,cylinder,2,6,6,525.34
bronze,sphere,2,2,2,38.91
silver,sphere,6,6,6,1186.39
tin,cylinder,10,6,6,2066.85
tin,box,10,2,2,292.4
tin,box,6,1,4,175.44
platinum,box,8,2,4,1349.76
silver,cylinder,5,3,3,370.75
platinum,box,2,9,10,3796.2
platinum,box,8,2,9,3036.96
platinum,cylinder,8,3,3,1192.61
silver,cylinder,6,2,2,197.73
tin,cylinder,1,6,6,206.69
platinum,sphere,4,4,4,706.73
silver,box,5,2,3,314.7
gold,sphere,9,9,9,7374.51
tin,box,9,4,5,1315.8
gold,box,7,10,7,9466.8
gold,sphere,6,6,6,2185.04
bronze,sphere,10,10,10,4864.23
platinum,cylinder,9,6,6,5366.75
tin,sphere,5,5,5,478.44
silver,sphere,2,2,2,43.94
bronze,sphere,3,3,3,131.33
gold,cylinder,3,1,1,45.52
platinum,cylinder,5,10,10,8282.02
tin,box,8,1,3,175.44
gold,sphere,3,3,3,273.13
bronze,cylinder,5,10,10,3648.17
platinum,sphere,1,1,1,11.04
bronze,sphere,3,3,3,131.33
gold,cylinder,9,5,5,3414.13
gold,sphere,2,2,2,80.93
bronze,box,8,5,8,2972.8
platinum,sphere,5,5,5,1380.34
gold,sphere,5,5,5,1264.49
gold,sphere,3,3,3,273.13
bronze,cylinder,1,7,7,357.52
tin,cylinder,3,2,2,68.9
gold,cylinder,7,8,8,6797.9
silver,sphere,8,8,8,2812.19
gold,sphere,9,9,9,7374.51
tin,box,8,4,4,935.68
gold,sphere,2,2,2,80.93
silver,sphere,4,4,4,351.52
bronze,sphere,8,8,8,2490.49
tin,box,3,8,4,701.76
bronze,sphere,2,2,2,38.91
tin,sphere,1,1,1,3.83
gold,box,6,8,10,9273.6
tin,sphere,8,8,8,1959.68
gold,cylinder,2,9,9,2458.17
tin,sphere,9,9,9,2790.25
platinum,cylinder,9,5,5,3726.91
platinum,box,10,7,9,13286.7
platinum,sphere,3,3,3,298.15
bronze,box,7,4,7,1820.84
bronze,box,5,6,6,1672.2
platinum,sphere,2,2,2,88.34
tin,cylinder,9,6,6,1860.17
tin,sphere,9,9,9,2790.25
tin,box,10,4,3,877.2
silver,sphere,6,6,6,1186.39
bronze,sphere,6,6,6,1050.67
tin,box,9,4,2,526.32
tin,box,10,6,9,3947.4
platinum,sphere,4,4,4,706.73
bronze,cylinder,8,7,7,2860.17
gold,box,10,5,6,5796.0
gold,sphere,4,4,4,647.42
tin,cylinder,10,6,6,2066.85
silver,box,9,1,6,566.46
silver,box,8,5,7,2937.2
gold,cylinder,10,5,5,3793.47
gold,box,6,6,2,1391.04
gold,box,1,6,2,231.84
gold,cylinder,7,5,5,2655.43
platinum,sphere,7,7,7,3787.65
gold,box,4,9,3,2086.56
platinum,box,7,1,5,738.15
silver,sphere,4,4,4,351.52
bronze,cylinder,5,5,5,912.04
platinum,box,10,6,4,5061.6
tin,cylinder,4,7,7,1125.29
bronze,cylinder,10,7,7,3575.21
platinum,box,9,4,3,2277.72
silver,cylinder,10,5,5,2059.71
platinum,box,9,2,3,1138.86
tin,cylinder,2,5,5,287.06
gold,box,4,9,7,4868.64
silver,box,6,6,2,755.28
gold,sphere,1,1,1,10.12
platinum,box,8,2,9,3036.96
bronze,cylinder,1,3,3,65.67
gold,cylinder,9,6,6,4916.34
gold,cylinder,7,8,8,6797.9
tin,cylinder,5,1,1,28.71
gold,box,3,8,7,3245.76
bronze,cylinder,2,6,6,525.34
gold,cylinder,9,6,6,4916.34
tin,sphere,4,4,4,244.96
platinum,sphere,8,8,8,5653.86
gold,sphere,9,9,9,7374.51
bronze,box,6,9,7,3511.62
tin,cylinder,8,10,10,4593.01
platinum,box,3,8,6,3036.96
silver,sphere,1,1,1,5.49
tin,cylinder,2,5,5,287.06
platinum,box,9,4,8,6073.92
tin,box,10,3,9,1973.7
platinum,cylinder,7,2,2,463.79
tin,sphere,1,1,1,3.83
bronze,box,6,7,9,3511.62
bronze,cylinder,5,3,3,328.34
tin,box,1,8,8,467.84
bronze,sphere,8,8,8,2490.49
silver,box,3,8,10,2517.6
platinum,box,3,10,8,5061.6
gold,box,4,9,10,6955.2
tin,sphere,3,3,3,103.34
silver,box,2,1,10,209.8
gold,cylinder,10,1,1,151.74
gold,box,10,7,8,10819.2
silver,cylinder,3,7,7,1211.11
platinum,sphere,10,10,10,11042.7
silver,cylinder,5,1,1,41.19
silver,box,2,2,1,41.96
silver,box,8,5,5,2098.0
platinum,cylinder,8,9,9,10733.5
bronze,cylinder,4,10,10,2918.54
bronze,sphere,3,3,3,131.33
bronze,box,2,2,3,111.48
tin,sphere,4,4,4,244.96
platinum,cylinder,3,5,5,1242.3
tin,cylinder,7,3,3,361.7
bronze,cylinder,2,7,7,715.04
bronze,box,1,1,10,92.9
gold,sphere,1,1,1,10.12
tin,cylinder,3,4,4,275.58
platinum,cylinder,4,7,7,3246.55
platinum,sphere,4,4,4,706.73
tin,box,10,6,3,1315.8
platinum,sphere,1,1,1,11.04
bronze,cylinder,8,3,3,525.34
bronze,cylinder,6,10,10,4377.81
platinum,sphere,7,7,7,3787.65
gold,cylinder,10,4,4,2427.82
bronze,sphere,3,3,3,131.33
platinum,cylinder,6,1,1,99.38
platinum,box,7,7,9,9300.69
tin,cylinder,6,7,7,1687.93
silver,box,7,6,7,3084.06
bronze,box,3,3,2,167.22
tin,box,5,10,8,2924.0
silver,sphere,2,2,2,43.94
bronze,cylinder,2,2,2,58.37
gold,box,7,9,6,7302.96
platinum,cylinder,3,8,8,3180.3
gold,sphere,7,7,7,3469.76
tin,box,3,9,2,394.74
silver,sphere,6,6,6,1186.39
platinum,sphere,8,8,8,5653.86
tin,cylinder,7,3,3,361.7
tin,box,4,1,6,175.44
silver,cylinder,5,8,8,2636.42
bronze,cylinder,8,2,2,233.48
platinum,box,8,6,8,8098.56
platinum,cylinder,4,9,9,5366.75
tin,cylinder,1,3,3,51.67
tin,sphere,8,8,8,1959.68
platinum,box,5,10,5,5272.5
bronze,cylinder,3,1,1,21.89
gold,cylinder,6,7,7,4461.12
platinum,box,7,2,1,295.26
gold,sphere,2,2,2,80.93
platinum,cylinder,2,3,3,298.15
platinum,box,6,1,2,253.08
silver,box,4,1,3,125.88
platinum,cylinder,4,9,9,5366.75
gold,box,5,9,10,8694.0
gold,cylinder,5,3,3,682.83
platinum,cylinder,6,1,1,99.38
gold,cylinder,2,9,9,2458.17
gold,cylinder,5,9,9,6145.43
silver,sphere,6,6,6,1186.39
bronze,box,2,4,5,371.6
tin,cylinder,5,8,8,1837.2
platinum,cylinder,9,5,5,3726.91
platinum,sphere,10,10,10,11042.7
gold,box,5,8,3,2318.4
platinum,sphere,10,10,10,11042.7
silver,sphere,3,3,3,148.3
silver,box,7,4,6,1762.32
tin,box,8,3,9,1578.96
platinum,cylinder,5,1,1,82.82
silver,sphere,5,5,5,686.57
silver,sphere,5,5,5,686.57
platinum,cylinder,4,2,2,265.02
silver,box,10,2,2,419.6
silver,cylinder,2,10,10,1647.77
gold,box,9,9,3,4694.76
silver,cylinder,10,1,1,82.39
bronze,cylinder,8,4,4,933.93
bronze,box,10,4,3,1114.8
bronze,box,3,7,1,195.09
