id,species-0,species-1,species-2
100,0.33079785,0.33599567,0.33320642
101,0.33079785,0.33599567,0.33320642
102,0.33079785,0.33599567,0.33320642
103,0.33079785,0.33599567,0.33320642
104,0.33079785,0.33599567,0.33320642
105,0.33079785,0.33599567,0.33320642
106,0.33079785,0.33599567,0.33320642
107,0.33079785,0.33599567,0.33320642
108,0.33079785,0.33599567,0.33320642
109,0.33079785,0.33599567,0.33320642
110,0.33079785,0.33599567,0.33320642
111,0.33079785,0.33599567,0.33320642
112,0.33079785,0.33599567,0.33320642
113,0.33079785,0.33599567,0.33320642
114,0.33079785,0.33599567,0.33320642
115,0.33079785,0.33599567,0.33320642
116,0.33079785,0.33599567,0.33320642
117,0.33079785,0.33599567,0.33320642
118,0.33079785,0.33599567,0.33320642
119,0.33079785,0.33599567,0.33320642
120,0.33079785,0.33599567,0.33320642
121,0.33079785,0.33599567,0.33320642
122,0.33079785,0.33599567,0.33320642
123,0.33079785,0.33599567,0.33320642
124,0.33079785,0.33599567,0.33320642
125,0.33079785,0.33599567,0.33320642
126,0.33079785,0.33599567,0.33320642
127,0.33079785,0.33599567,0.33320642
128,0.33079785,0.33599567,0.33320642
129,0.33079785,0.33599567,0.33320642
130,0.33079785,0.33599567,0.33320642
131,0.33079785,0.33599567,0.33320642
132,0.33079785,0.33599567,0.33320642
133,0.33079785,0.33599567,0.33320642
134,0.33079785,0.33599567,0.33320642
135,0.33079785,0.33599567,0.33320642
136,0.33079785,0.33599567,0.33320642
137,0.33079785,0.33599567,0.33320642
138,0.33079785,0.33599567,0.33320642
139,0.33079785,0.33599567,0.33320642
140,0.33079785,0.33599567,0.33320642
141,0.33079785,0.33599567,0.33320642
142,0.33079785,0.33599567,0.33320642
143,0.33079785,0.33599567,0.33320642
144,0.33079785,0.33599567,0.33320642
145,0.33079785,0.33599567,0.33320642
146,0.33079785,0.33599567,0.33320642
147,0.33079785,0.33599567,0.33320642
148,0.33079785,0.33599567,0.33320642
149,0.33079785,0.33599567,0.33320642
150,0.33079785,0.33599567,0.33320642
