job-D:11,job-D:al,job-D:am,job-D:ax,job-D:bf,job-D:by,job-D:cv,job-D:de,job-D:dz,job-D:e2,job-D:f8,job-D:gj,job-D:gv,job-D:kd,job-D:ke,job-D:kl,job-D:kp,job-D:ks,job-D:kw,job-D:mm,job-D:nb,job-D:nn,job-D:ob,job-D:pe,job-D:po,job-D:pq,job-D:pz,job-D:qp,job-D:qw,job-D:rn,job-D:sa,job-D:vv,job-D:zz,area-D:a,area-D:b,area-D:c,area-D:d,income,aspect,subscriptions-D:0,subscriptions-D:1,subscriptions-D:2,subscriptions-D:3,subscriptions-D:4,subscriptions-D:5,dist_healthy,save_rate,dist_unhealthy,age,pop_dense,retail_dense,crime,product-D:a,product-D:b,product-D:c,product-D:d,product-D:e,product-D:f,product-D:g
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.5938224843936177,-0.6649181453910739,0,1,0,0,0,0,-0.04841068439081062,-0.21576412680855944,-0.3140885360737018,0.8543210643541276,0.07927914995881552,-0.4657647498043554,-1.1203150908026727,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3381142848010156,-0.20774798272445222,0,0,1,0,0,0,-0.26676548954138535,0.19686896960208844,-0.9151607631510896,1.3944323742034261,-0.07501047006018571,-1.445372359959824,0.6829448672847949,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.1765959733773751,1.127906021929011,0,1,0,0,0,0,-0.9882857152563271,-0.7143624516380923,-0.07860352936156531,-0.49595721026911854,0.8507272500538231,1.055204960700188,-0.37308686292710475,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5139113361660362,-0.44081512447606336,0,1,0,0,0,0,-0.6844877254816147,-0.5424319948003223,-1.2163473877580488,1.1243767192787768,0.1307090232984826,-0.7751145214323982,0.4664011767575893,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.805515676554778,1.638860909615235,0,0,0,1,0,0,-0.9550578101247179,-0.47365981206521435,-1.017291000868784,-2.116291139817014,-1.7721962902692021,0.6427385985294645,-1.1370896020406955,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3674366302140284,1.594040305432233,0,1,0,0,0,0,0.9769075310988438,0.6782742487478444,0.7338847949021329,-0.7660128651937678,-0.17787021673951986,0.720076041436475,1.0809582702960665,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.786599451181229,0.814161792647996,0,0,0,1,0,0,-0.9550578101247179,-0.25015021817611344,-0.5892547179500386,-1.8462354848923648,1.2621662367711612,2.034812570855656,-1.0051809454871514,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.17306181940170812,0.48248932169378067,0,0,1,0,0,0,-0.8696146255005801,-0.5252389491165453,1.8156847014277775,-0.49595721026911854,1.5707454768091638,1.055204960700188,-0.6186047092290771,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0196169764421348,0.9306953635238017,1,0,0,0,0,0,2.756973877435049,2.088103994817558,-0.4129662184500688,-0.22590155534446932,0.9535869967331573,0.7716343367078153,-0.9823066119807565,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6301728425123855,1.4147578887002248,0,1,0,0,0,0,-1.1306910229632237,-0.7659415886894233,0.9257855600404767,-1.036068520118417,0.23356876997781675,1.055204960700188,-0.5576064865453572,0,0,1,0,0,0,0
